,shop,1st,location
53,드림통신(구)굿타임24아산석정점,23,충남 아산시 염치읍 석정리 28-9번지
54,종합복권방,23,전남 해남군 해남읍 해리 189-2
55,천하명당복권,23,대구 북구 읍내동 771-3번지
56,명당복권방,22,경기 남양주시 화도읍 창현리 472-7번지
57,버스표가판점,22,경기 안양시 동안구 호계동 1039-2번지
58,경성식품,21,서울 동대문구 휘경동 192-5번지
59,교통카드충전소,21,경기 고양시 덕양구 화정동 1098번지 화정역 2번출구
60,대박예감,21,경기 화성시 반월동 30
61,또또복권방,21,전북 익산시 영등동 827-3번지
62,마두역상행선 가판대,21,경기 고양시 일산동구 장항동 893 마두역상행선가판대
63,양산노다지복권방,21,경남 양산시 북부동 701-1
64,포유25다농점,21,경기 오산시 오산동 924-1번지 거성그린프라자114호
65,행복한사람들 (흥부네),21,경기 광주시 곤지암읍 삼리 399-18번지
66,가판대,20,서울 노원구 상계동 65-51층 세븐일레븐 점포내 일부
67,노다지복권방,20,경기 오산시 오산동 371-1번지
68,대박행진 복권랜드,20,경기 파주시 금촌동 989-1번지 금촌프라자107호
69,대원슈퍼마켓,20,부산 수영구 광안제2동 373-15번지
70,데스콤㈜영등포영업소,20,서울 영등포구 영등포동5가 25-1
71,동아전업사,20,전북 전주시 덕진구 팔복동2가 247-13번지
72,로또복권방,20,경기 군포시 산본동 1134-2 신명빌딩1층1005호
73,보람복권방,20,울산 남구 삼산동 1567-6 우리들보람점내
74,역전광장상회,20,경기 파주시 금촌1동 329-19번지
75,종로3가1호선역2번출구가로판매점82호,20,서울 종로구 종로3가 23-1 가판
76,팡팡복권마트.잡화슈퍼,20,전북 전주시 덕진구 금암1동 460-30
77,하이로또복권방,20,경기 안양시 동안구 평촌동 93-2번지
78,407억당첨가판점,19,강원 춘천시 중앙로2가 27-1 국민은행앞 가판
79,GS25(안산산호점),19,경기 안산시 단원구 선부동 1081
80,복권명당,19,충남 공주시 신관동 585-12번지
81,오천억복권방,19,광주 서구 화정동 782-14번지
82,욱일슈퍼,19,인천 부평구 일신동 110-5번지
83,월드컵복권방,19,경기 광주시 경안동 57-12번지
84,장미슈퍼,19,충남 부여군 부여읍 동남리 739-9번지 부여군청 로터리 부근
85,진평양행,19,강원 강릉시 중앙동 7-12번지
86,진플러스안경,19,대전 중구 부사동 153-20번지
87,천하명당복권방,19,경남 거제시 옥포동 582번지
88,행복충전소,19,경기 평택시 지산동 755-1
89,GS25(덕산제일점),18,경남 창원시 진해구 덕산동 79-10번지
90,GS25(종로낙원점),18,서울 종로구 낙원동 230
91,대성기획,18,경기 용인시 기흥구 마북동 339-1번지
92,로또,18,경남 고성군 고성읍 동외리 287-21번지
93,로또명당해미점,18,충남 서산시 해미면 읍내리 295-4
94,로또복권방,18,충남 당진시 송악읍 복운리 1645-7
95,로또수락산점,18,서울 노원구 상계동 1262번지 대덕하이베라스101호
96,소리창고,18,서울 강서구 내발산동 677-10번지
97,CU(제천역점),17,충북 제천시 화산동 208-1 1층 CU편의점
98,대박복권방,17,경기 양주시 광적면 가납리 728-8
99,동명슈퍼,17,강원 속초시 동명동 458-6
100,디딤슈퍼,17,경기 부천시 원미구 도당동 164-20번지
101,베스트올수성점,17,전북 정읍시 수성동 932-1
102,복권나라,17,충북 증평군 증평읍 중동리 15-3번지
103,복권마을,17,경기 안양시 동안구 호계동 959-19번지
104,복권방,17,서울 구로구 구로동 409-80번지 1층
105,씨유 대전원내점,17,대전 유성구 원내동 228-8번지 CU편의점
106,원스탑,17,서울 송파구 잠실동 183-1
107,이마트24 마산만복점,17,경남 창원시 마산회원구 합성동 266-17번지
108,제일슈퍼,17,인천 연수구 동춘동 937번지 제일상가112호
109,창미슈퍼,17,경기 화성시 남양읍 남양리 1270-3
110,포시즌,17,경남 김해시 내외동 1123-1번지 복권판매점
111,프리웨이스토어,17,경기 광주시 장지동 533번지 1층
112,한꿈복권방,17,울산 중구 남외동 486-5번지 베스트편의점내
113,가로판매점,16,서울 용산구 원효로2가 94-2번지
114,가판점,16,서울 강동구 천호동 449-49 앞 가판점
115,노다지복권방,16,경기 시흥시 대야동 345-16번지 1층상가
116,대박로또복권방,16,대전 중구 문창동 361-11번지
117,로또나라,16,경기 파주시 문발동 495-138번지
118,로또마트,16,전남 목포시 옥암동 1027번지 부영아파트상가109호
119,로또명당,16,인천 남구 주안동 1533-26번지
120,로또복권판매도통점,16,전북 남원시 도통동 584-1번지
121,로또통신,16,경기 안성시 인지동 352-10
122,베스토아(용전2호),16,대전 동구 용전동 63-3번지 복합터미널서관1층59호
123,복권나라,16,서울 관악구 은천동 926-25
124,복권나라,16,강원 원주시 학성동 436-15 1층
125,복권마을,16,서울 구로구 구로동 805-20번지
126,불국사명당복권,16,경북 경주시 불국동 631-16
127,신림마트,16,서울 관악구 신림동 1639-1
128,씨유고현점,16,경남 거제시 고현동 206
129,씨유송도프라자,16,인천 연수구 송도동 2-6번지 송도프라자108호
130,오창중앙복권,16,충북 청주시 청원구 오창읍 양청리 792-1번지 103호
131,웅진,16,경기 수원시 팔달구 인계동 1045 동수원홈플러스 1층
132,원동슈퍼,16,충남 보령시 대천동 172-8번지
133,초월대박복권방,16,경기 광주시 초월읍 대쌍령리 196-18
134,패밀리복권방,16,경기 남양주시 호평동 641번지 에이스프라자1층106호
135,필로또복권,16,충남 서산시 석남동 1280-1 1층
136,하나열쇠,16,부산 남구 용호제2동 495-1번지
137,하나유통,16,경북 경산시 진량읍 신상리 470-6번지
138,행복만남천안터미널점,16,충남 천안시 동남구 신부동 363-2 emart24 편의점 내
139,행복한집,16,경기 오산시 원동 379-8번지
140,AM&PM,15,경남 김해시 부원동 839-8번지 복권판매점
141,GS25(계산동경점),15,인천 계양구 계산동 1076-7번지 도쿄프라자1층2호
142,금도깨비복권전문점,15,경기 김포시 하성면 원산리 346-1번지
143,기장슈퍼,15,부산 기장군 기장읍 동부리 162-20번지
144,까치복권방,15,경기 시흥시 정왕동 1782-18번지 1층102
145,나우리고현점,15,경남 거제시 고현동 961-160번지
146,노다지복권방,15,서울 성동구 성수동2가 316-61번지 1층 1호
147,대박로또판매점,15,경기 수원시 장안구 율전동 291
148,대박찬스,15,경기 남양주시 진접읍 장현리 351-16번지 1층1호
149,대소원로또,15,충북 충주시 대소원면 대소리 53-3번지 휴게소내 컨테이너
150,럭키슈퍼,15,서울 용산구 후암동 27-14
151,로또정량점,15,경남 통영시 정량동 1158-57 7호
152,롯데마트,15,전북 군산시 나운동 345번지
153,문덕대박로또,15,경북 포항시 남구 오천읍 문덕리 176-7번지
154,복권나라,15,서울 중구 회현동 18-1
155,복권명당,15,경북 경산시 중방동 848-9번지
156,알리바이(나주점),15,전남 나주시 금성동 2-2번지 알리바이
157,조례로또복권방,15,전남 순천시 조례동 1092-2번지 조례로또복권방
158,태극로또전문점,15,경기 이천시 창전동 459
159,태양정보통신,15,경기 광주시 중대동 17-12 상가1층
160,프라임24시편의점,15,울산 북구 농소3동 367-7
161,행운마트,15,충남 아산시 인주면 공세리 114-18
162,행운복권방,15,경기 양평군 용문면 다문리 731-6 1층
163,흥건슈퍼,15,전북 전주시 완산구 삼천3동 300-3 흥건슈퍼
164,523마트,14,서울 강서구 등촌동 633-7번지 1층
165,CU칠곡점,14,대구 북구 관음동 1386-5번지
166,D-마트담배,14,강원 속초시 조양동 1498-2번지
167,GS25(서귀중문점),14,제주 서귀포시 중문동 1964-4
168,금강종합공구,14,경기 김포시 대곶면 율생리 350-5번지
169,대흥당,14,전북 정읍시 시기동 431-2
170,동부슈퍼로또,14,충남 보령시 대천동 372-1번지 동부아파트상가107호
171,로또복권 하대점,14,경남 진주시 하대동 126-17번지
172,로또복권방,14,서울 강남구 논현동 169 103호
173,명성복권방,14,전남 순천시 연향동 1462-2번지 명성복권방
174,복권나라,14,충북 청주시 청원구 율량동 912
175,복권방,14,제주 서귀포시 대정읍 하모리 820-16
176,복권왕국,14,대전 서구 내동 13-19번지
177,봉담복자리복권과편의점,14,경기 화성시 봉담읍 상리 27-11
178,북문복권방,14,경기 수원시 장안구 영화동 311-12
179,서정천하명당,14,경기 평택시 서정동 262-11
180,수성그린마트,14,경남 창원시 진해구 경화동 905-2 26호 10호
181,역곡중앙슈퍼,14,경기 부천시 원미구 역곡동 79-5번지
182,영훈슈퍼마켓,14,서울 도봉구 창동 557-5번지
183,운수대통복권방,14,충남 천안시 동남구 사직동 263-3 1층7호
184,자양사거리가로매점,14,서울 광진구 자양동 219-2번지
185,정원복권방,14,서울 도봉구 창동 655-20 1층 101-3호
186,천하명당우만점,14,경기 수원시 팔달구 우만동 466-5
187,터미널로또수리점,14,광주 서구 광천동 49-1번지 광주종합버스터미널 내 금호고속사무실부근
188,터미널로또판매점,14,인천 남구 관교동 인천교통공사대합실1층2호편의점내
189,토큰박스(서문5지구),14,대구 중구 대신동 115-46번지
190,팡팡복권방,14,충북 진천군 진천읍 읍내리 403-2
191,행운마트,14,인천 부평구 십정동 355-18번지
192,황금로또,14,강원 원주시 태장동 1390-16 1층
193,CU(달동초이스점),13,울산 남구 달동 1309-1번지
194,CU(포항오거리점),13,경북 포항시 북구 죽도동 42-17번지
195,GS25(김해서상점),13,경남 김해시 서상동 152-10번지 1층
196,SoundWave,13,경기 광명시 광명3동 150-7번지
197,가로매점,13,서울 종로구 종로4가 126-2 우리은행앞 가판
198,갤러리마트,13,서울 중랑구 면목동 604-5번지
199,거봉마트(원고개시장),13,대구 서구 평리동 762-3번지
200,경기상회,13,인천 남동구 만수동 1041-3 104호
201,광주역점(천운당),13,경기 광주시 역동 202-1번지
202,그린24시편의점,13,충북 청주시 서원구 분평동 1018번지
203,노다지로또,13,서울 중랑구 면목동 74-35번지
204,노다지복권방,13,인천 남구 학익동 264-6번지 외7필지125호
205,대박,13,경기 안양시 동안구 관양동 1606번지
206,대박마트,13,인천 남동구 논현동 647-2번지 세중프라자1층101-2호
207,대박복권방,13,경기 남양주시 화도읍 마석우리 383-6번지 중흥프라자101호
208,대박복권방,13,경남 김해시 활천동 592-3번지 복권판매점
209,대박복권방,13,경기 연천군 전곡읍 전곡리 480-16번지
210,대박행운복권방,13,충남 아산시 도고면 금산리 161-21 서해안 휴게소내 편의점
211,동호슈퍼,13,서울 중구 신당제3동 372-31번지 동호빌딩1층
212,라이프마트,13,인천 중구 항동7가 58-98번지 5호
213,맛딱치킨,13,경기 군포시 산본동 1055 108호
214,명당골복권방,13,경기 수원시 권선구 권선동 1295-3 104호
215,버스가판대,13,경기 성남시 중원구 성남동 3495번지
216,복권나라,13,강원 홍천군 홍천읍 신장대리 78-15 1층
217,복권나라,13,경기 포천시 소흘읍 이가팔리 309-1번지
218,복권방,13,부산 사하구 장림제1동 328-9번지
219,복권천국방,13,서울 마포구 서교동 480-1번지 1층
220,부흥청과식품점,13,경북 경산시 하양읍 남하리 118번지 우방3차상가
221,빛고을로또,13,광주 광산구 소촌동 832-1번지 세븐일레븐
222,삼삼마트,13,경남 진주시 봉안동 27-3번지
223,성광복권명당,13,부산 연제구 연산제1동 313-21번지
224,세종복권방,13,세종 용포리 90-25
225,소답시내버스매표소,13,경남 창원시 의창구 소답동 114-7번지 가판
226,송내매표소,13,경기 부천시 송내동 709-2번지 버스정류장
227,송추장흥로또,13,경기 양주시 장흥면 교현리 114-7
228,스포츠복권방,13,경남 양산시 물금읍 범어리 386-1번지
229,썬복권,13,광주 광산구 도천동 622-6번지 미니스톱내
230,안산삼성홈플러스로또복권판매점,13,경기 안산시 상록구 성포동 586번지 삼성홈플러스1층
231,열두보석복권방,13,경기 용인시 기흥구 구갈동 351 구갈스포츠센터106호
232,영약국,13,충남 금산군 금산읍 중도리 361-4번지
233,예스복권방,13,경기 남양주시 별내동 1016 메인프라자 1층 105호
234,왕대박(복권방),13,대구 북구 칠성동2가 498-2번지 1층전체
235,왕대박복권,13,대구 달성군 다사읍 죽곡리 129-1번지
236,왕대박복권방,13,경북 문경시 모전동 81-89번지
237,용꿈돼지꿈복권전문점,13,강원 동해시 천곡동 855번지 이주민상가1층15호
238,우리복권,13,인천 남동구 논현동 632-2 102호 CU편의점 내
239,운수대통,13,인천 남동구 간석동 616-54번지
240,운수대통복권방,13,인천 서구 석남동 512-6번지
241,작은신부,13,충남 서산시 대산읍 대산리 133-31
242,종합복권슈퍼,13,경기 시흥시 정왕1동 1735-2번지 정일빌딩104
243,천국열쇠,13,광주 북구 운암동 1040-10번지
244,천하명당,13,경기 안산시 상록구 월피동 442번지
245,평안당,13,서울 종로구 종로5가 80-1번지
246,한성로또복권,13,강원 정선군 고한읍 고한리 57-5번지
247,해피마트,13,경기 의왕시 삼동 471-67 의왕역로터리앞
248,행복슈퍼,13,서울 성북구 동소문동4가 115번지
249,현진식품,13,서울 구로구 고척동 52-346번지
250,훼미리복권,13,경기 안산시 상록구 월피동 448 현대2차아파트상가18호
251,25시슈퍼,12,경기 시흥시 정왕동 1882-11번지 홍익프라자1층107호
252,CU(안산와동점),12,경기 안산시 단원구 와동 679-7
253,GS25(신공항점),12,인천 중구 운서동 2790-1 영종출장운서지소
254,GS25(안산신영점),12,"경기 안산시 상록구 본오동 874-12번지 신영빌딩103호,104호"
255,GS25(중촌현대점),12,대전 중구 중촌동 17-2번지
256,L-마트,12,경기 부천시 오정구 삼정동 364번지 부천테크노파크100-103
257,가로판매소,12,서울 구로구 구로동 3-25 신도림역배수펌프장앞
258,가판점,12,경기 부천시 대산동 543 이마트앞 지하도입구
259,권선로또복권방,12,경기 수원시 권선구 탑동 843-4 천림빌딩102호
260,노다지복권방,12,부산 해운대구 반송제2동 186-5번지
261,노다지복권방,12,경기 김포시 북변동 235-14번지 제1층
262,녹산로또,12,부산 강서구 송정동 1631-5 1층
263,대박복권방,12,전북 전주시 완산구 동완산동 67번지
264,대부복권방,12,인천 중구 운서동 2803-1 1동 128-1호
265,대야지복권,12,광주 남구 주월동 961-24번지
266,덕하복권명당,12,울산 울주군 청량읍 상남리 582-5
267,돈벼락복권,12,강원 태백시 황지동 621-28번지 1통4반
268,로또복권대박,12,경북 상주시 냉림동 353-4번지
269,로또복권방,12,충남 아산시 배방읍 공수리 142-21 PGA스크린골프연습장내
270,로또온천장점,12,부산 동래구 온천동 1750-1 5호
271,로또왕대박,12,경기 화성시 봉담읍 와우리 75-6 1층
272,로또판매점,12,충북 음성군 대소면 태생리 533-1 비디오대여점
273,로또판매점(바이더웨이),12,부산 금정구 구서동 415-2번지세븐일레븐내
274,로또행운마트,12,경남 김해시 155-12번지
275,메트로센터점,12,대구 중구 덕산동 88번지 메트로센터C412호
276,복권나라,12,전남 여수시 교동 448-2번지 1층
277,복권명당,12,경기 안성시 공도읍 승두리 60-129
278,복권방,12,경기 하남시 신장동 427-169번지
279,복권방,12,강원 원주시 관설동 1702-1 1층 CU편의점 내
280,복권방,12,서울 강동구 성내동 245-32번지
281,복권파티,12,서울 송파구 거여동 31-10번지
282,삼팔로또,12,충남 서천군 서천읍 군사리 696-5번지
283,서울복권,12,강원 강릉시 교1동 1888-1번지 청호빌딩1층4호
284,세원로또복권방,12,부산 수영구 445-3 101호
285,슈퍼복권나라,12,부산 부산진구 가야제3동 337-4 1층 복권방
286,씨유 수내트라펠리스점,12,경기 성남시 분당구 수내동 10-1번지 삼성트라펠리스108호
287,알리바이 공항,12,광주 광산구 송정동 258-28번지 1층 알리바이
288,우리들(북구청점),12,울산 북구 연암동 417-1 1층 우리들편의점 내
289,우리별텔레콤(SK백석점),12,충남 천안시 서북구 백석동 859번지 상가101호
290,우일,12,서울 송파구 마천동 25-2번지
291,운수대통,12,경기 수원시 권선구 호매실동 87-2
292,위드미 용인둔전점,12,경기 용인시 처인구 포곡읍 둔전리 152-17번지
293,이마트24구미황상점,12,경북 구미시 인의동 827-19번지
294,인생대역전,12,인천 계양구 임학동 10-10번지
295,잠실나루역2번출구,12,서울 송파구 신천동 17-2번지 잠실나루역 2번출구
296,주택복권방,12,경기 용인시 수지구 풍덕천동 717-3번지 103호
297,준,12,경기 평택시 포승읍 방림리 53-5
298,중구-가로가판대-37,12,서울 중구 남대문로3가 30-6번지
299,중앙동역 나들가게24,12,부산 중구 중앙동 89-2번지 흥우빌딩1층 나들가게편의점
300,짱25시,12,대구 수성구 만촌동 1040-15번지
301,천사로또방,12,경기 남양주시 금곡동 159-66 1층 7호
302,충청복권전문점,12,충남 천안시 서북구 성환읍 성환리 375-9번지
303,코사마트금강점,12,대구 달서구 용산동 950-5번지 1층 코사마트
304,태양마트,12,대전 유성구 지족동 905-1번지 그랜드타운105호
305,풍전슈퍼,12,경기 부천시 원미구 원미동 55-1번지
306,풍향동복권나라,12,광주 북구 풍향동 581-19
307,프로토베팅샵,12,부산 중구 광복동 27-6번지 4호
308,행운방,12,경기 용인시 기흥구 보정동 1208-4번지엔림프라자101호
309,행운복권방,12,서울 은평구 불광동 320-1 상가102호
310,3억복권방,11,강원 태백시 황지동 30-8번지
311,CU(거제해금강),11,경남 거제시 고현동 997-5번지
312,CU(망우점),11,서울 중랑구 망우동 470-10번지
313,CU(역촌제일점),11,서울 은평구 역촌동 78-45
314,CU(원종깨비점),11,경기 부천시 원종동 280-9번지 CU원종깨비점
315,GS25(양산덕계점),11,경남 양산시 덕계동 925
316,가수로또복권,11,경기 오산시 누읍동 533-1번지
317,경일통신,11,경남 창원시 마산회원구 회성동 169-1번지
318,교통카드판매소,11,서울 강북구 수유동 191-14번지 가판
319,금두꺼비복권방,11,경기 고양시 일산서구 대화동 2208번지 재성빌딩1층
320,노다지 노원역점 복권방,11,서울 노원구 상계동 340-1번지
321,대박로또복권,11,경기 김포시 통진읍 옹정리 37-1번지
322,대박미니수퍼,11,경기 안성시 대덕면 내리 689-7 1층
323,대박복권방,11,울산 동구 전하2동 626-6번지
324,대박찬스,11,광주 북구 오치동 776-7번지
325,대산슈퍼,11,충남 천안시 동남구 북면 연춘리 120-5
326,대운복권,11,경기 성남시 중원구 성남동 4159번지
327,대진전자,11,서울 노원구 상계동 1025-40번지
328,대학사로또복권,11,경남 창원시 성산구 상남동 10-5번지피아노빌딩101호 CU편의점 내
329,둔포로또판매점,11,충남 아산시 둔포면 둔포리 479-1 둔포로또판매점
330,로또(파발마점),11,경기 시흥시 정왕동 2302번지 역전프라자105호
331,로또25시,11,경기 수원시 권선구 금곡동 1085 비즈웍스 111호
332,로또명당,11,충북 진천군 진천읍 읍내리 258-5
333,로또명당금왕점,11,충북 음성군 금왕읍 무극리 669번지 세븐일레븐 금왕점
334,로또복권방,11,경기 파주시 금촌1동 932-1 1층
335,로또복권방,11,충북 청주시 청원구 내수읍 내수리 36-19 디지털프라자 옆
336,로또복권방,11,인천 서구 신현동 283번지 1층102호
337,로또복권방,11,경기 가평군 가평읍 읍내리 448-31층
338,로또삼성복권방,11,경기 수원시 영통구 원천동 550-1 원천훼미리타운105호
339,로또판매점(복권방),11,경기 군포시 당동 921-5금강프라자1-110호
340,명동역5번출구가판,11,서울 중구 충무로1가 24-1번지
341,명성복권방,11,경기 화성시 진안동 525-58
342,바른손(퇴계점),11,강원 춘천시 퇴계동 983 주공2단지상가101호
343,보성정보통신,11,서울 동대문구 장안동 464-6번지
344,복권나라,11,강원 원주시 중앙동 151-2 1층
345,복권만당,11,경기 군포시 당동 785-8
346,복권명당,11,대구 동구 동호동 106-25번지
347,복권방,11,경기 군포시 당동 771-15
348,복권방,11,"인천 연수구 송도동 149 301동 비 - 107호, 롯데캐슬캠퍼스타운"
349,복권세상,11,광주 광산구 우산동 1580-1 복권세상
350,복권전문점(고흥),11,전남 고흥군 고흥읍 남계리 631-55번지 복권전문점
351,복권천국,11,경기 부천시 심곡동 145-4번지
352,복돼지복권방,11,전북 익산시 모현동1가 865 배산시티프라자 1층 107호
353,서하네,11,서울 구로구 개봉동 407-15번지
354,시외터미널 대박로또,11,충북 청주시 흥덕구 가경동 1449번지 시외버스터미널 내
355,씨유 함양한주점,11,경남 함양군 함양읍 용평리 684-8번지
356,안성맞춤,11,경기 안성시 금산동 47
357,예인기획,11,경기 화성시 향남읍 평리 32-1
358,왕대박복권,11,강원 속초시 동명동 559-4번지
359,요술상자,11,경기 평택시 비전동 598-4 동일건물내 이전
360,우리들덕신점,11,울산 울주군 온산읍 덕신리 1296-11번지
361,운수대통복권샵,11,전북 전주시 완산구 중화산동2가 755-8번지
362,유방매표소,11,경기 용인시 처인구 유방동 310-10
363,으뜸우리들복권방,11,울산 남구 삼호동 258-1
364,은행복권방,11,경기 시흥시 은행동 599번지 우남상가2동101호
365,인덕원복권방,11,경기 안양시 동안구 관양동 1502-4
366,주엽역 로또판매점,11,경기 고양시 일산서구 주엽동 109 도로
367,찬스복권방,11,인천 부평구 부평동 645-46번지 1층
368,천하명당,11,전남 여수시 신기동 128-5번지
369,천하명당복권전문점,11,광주 광산구 우산동 1586-4번지
370,천하명당초량점,11,부산 동구 초량제2동 377-7번지
371,천하복권방,11,인천 중구 중앙동4가 2-25번지
372,캐논종합,11,서울 용산구 한강로3가 1-3번지 나진10동가125호
373,컴닥터 복권방,11,경기 용인시 수지구 동천동 371-5108호
374,탑포인트부평점,11,인천 부평구 부평동 557-1번지 1층
375,터미널유통마트,11,경기 의정부시 신곡동 719-4번지 우신프라자1층101호
376,터미널편의점1층,11,경기 수원시 권선구 권선동 1189 수원복합터미널1301호
377,팡팡마트,11,경기 남양주시 오남읍 오남리 404-8 102호
378,팬시코아,11,경기 남양주시 퇴계원면 퇴계원리 255-24번지
379,평택포승점로또,11,경기 평택시 포승읍 도곡리 1144-24 CU편의점 내
380,포유25대호점,11,경기 오산시 궐동 679-3번지
381,프렌드24시,11,광주 광산구 첨단1동 655-3 빌리오네2 제1층 106호
382,하당복권방,11,전남 목포시 옥암동 998번지
383,하이마트,11,인천 서구 연희동 333-7번지
384,한국인세계대박복권,11,인천 연수구 옥련동 285번지
385,한라점,11,제주 제주시 노형동 2519-14씨유대화점내
386,해피타임,11,경기 평택시 오성면 죽리 7-15
387,행운로또복권방,11,경기 파주시 광탄면 신산리 215-20번지
388,현대25시편의점,11,경기 파주시 조리읍 봉일천리 168-4번지
389,현아상회,11,부산 남구 용호제3동 371-13번지
390,황금대박점,11,서울 노원구 하계동 180-11번지
391,777천하명당,10,충남 서천군 서천읍 군사리 684-5번지
392,CN마트,10,울산 중구 남외동 423-5 1층
393,CU(거제신정점),10,경남 거제시 장평동 1195-3
394,CU(횡성점),10,강원 횡성군 횡성읍 읍하리 115-11
395,GS25(서면새싹점),10,부산 부산진구 부전동 264-17
396,SEVEN 스토아,10,부산 해운대구 반여제1동 1441-125
397,가로판매점,10,서울 관악구 남현동 1060-11
398,가로판매점,10,서울 관악구 신림동 1424-11번지
399,고속로또,10,전남 목포시 명륜동 6-5번지 약국 내
400,고인돌대박천국,10,전북 고창군 고창읍 읍내리 656번지
401,공원슈퍼,10,경기 수원시 장안구 영화동 257-1
402,광성슈퍼,10,경기 이천시 단월동 509-4
403,광시당,10,경북 영주시 하망동 422-42번지
404,광포로또복권,10,경북 울진군 죽변면 후정리 671-1번지
405,구산복권방,10,경남 김해시 북부동 481-3 보보스빌딩 107호
406,국민은행앞가판점,10,서울 중구 을지로2가 9-1번지
407,굿모닝,10,전남 순천시 매곡동 420-5번지 굿모닝
408,그린편의점,10,대전 서구 변동 50-5 편의점
409,금강복권,10,경남 거제시 거제면 오수리 377-1
410,길동방,10,서울 강동구 길동 249-1번지 3호
411,길벗,10,광주 북구 오치동 1039-11번지
412,나라시스컴,10,서울 영등포구 영등포동5가 18-58번지 영신상가1호
413,노다지(남지점),10,경남 창녕군 남지읍 남지리 656-16번지
414,노다지복권방,10,대전 대덕구 법동 344-12번지 대영상가 1층
415,노다지복권방진월점,10,광주 남구 진월동 422 1층2호
416,다모아복권,10,서울 구로구 오류동 315-14번지
417,다모아복권방,10,서울 구로구 오류동 137-46번지 1층
418,당첨로또,10,인천 서구 연희동 333-7
419,대광슈퍼,10,경기 군포시 산본동 1061-3 미성프라자106호
420,대동도기상사,10,경북 영천시 금노동 499-3번지
421,대림통상,10,울산 중구 태화동 426 일신아파트상가102호
422,대박로또,10,충남 서천군 장항읍 창선1리 249
423,대박복권,10,서울 강서구 등촌동 674-1번지
424,대박복권방,10,경기 고양시 일산동구 장항동 543-4번지
425,대박복권방,10,경기 파주시 문산읍 문산리 13-7번지
