,shop,1st,location
0,스파,147,서울 노원구 상계동 666-3 주공10단지종합상가111
1,부일카서비스,125,부산 동구 범일제2동 830-195번지
2,제이복권방,74,서울 종로구 종로5가 58번지 평창빌딩 1층 103호
3,로또명당인주점,63,충남 아산시 인주면 신성리 188-8
4,목화휴게소,61,경남 사천시 용현면 주문리 4
5,일등복권편의점,61,대구 달서구 본리동 2-16번지 1층
6,로또휴게실,58,경기 용인시 기흥구 상갈동 378-1
7,세진전자통신,57,대구 서구 평리동 1094-4번지
8,잠실매점,48,서울 송파구 신천동 7-18번지 잠실역 8번출구 앞 가판
9,종합가판점,48,서울 동대문구 전농동 620-69 청량리역 4번출구 가판점
10,돈벼락맞는곳,47,부산 동구 범일제2동 833-5번지
11,세방매점,45,경북 경주시 용강동 754-3
12,인터넷 복권판매사이트,44,서초구 서초동 동행복권(dhlottery.co.kr)
13,복권명당(서부점),42,대구 달서구 송현동 195-2번지
14,올인(allin),42,경기 화성시 향남읍 장짐리 273-3
15,창원병원앞매표소,42,경남 창원시 성산구 중앙동 104-1번지 가판
16,영화유통(1등복권방),40,울산 남구 달동 758번지 삼성아파트 상가 204-101
17,셀프카메라,38,부산 부산진구 개금제3동 472-23번지
18,영광정보통신,37,서울 성북구 월곡제2동 37-74 1층 우측1호
19,대박찬스,36,충북 청주시 흥덕구 가경동 1220번지
20,NG24,35,경북 칠곡군 석적읍 중리 86-8번지
21,로또명당가두판매점,35,경기 안양시 동안구 비산동 1144번지
22,북마산복권전문점,35,경남 창원시 마산합포구 상남동 39-4번지
23,알리바이,34,광주 광산구 신가동 986-4번지 1층 알리바이
24,천하명당복권방,34,경기 수원시 팔달구 매산로1가 58-20
25,토큰판매소,34,서울 송파구 풍납동 480번지
26,황금복권마트,34,경기 이천시 증포동 342 1층
27,월드24시,32,서울 은평구 갈현동 398-1번지
28,오케이상사,31,서울 서초구 반포동 19-3번지 센트럴시티내100호매점
29,GS25(양산혜인점),30,경남 양산시 평산동 31-5번지
30,노다지복권방,30,경기 용인시 처인구 마평동 735-1번지
31,파란만장복권방,30,경기 화성시 진안동 878-4 101호
32,다니엘사,29,경기 안산시 단원구 초지동 796 101호
33,로또판매점,29,경기 포천시 신북면 가채리 23-2
34,마두5번출구가판로또,29,경기 고양시 일산동구 798-1
35,행운복권방,29,경기 포천시 소흘읍 송우리 128-2
36,노다지복권방,28,서울 종로구 창신동 302-5
37,미나식품(로또판매점),28,서울 강서구 방화동 484-23번지
38,율암25시편의점,28,경기 화성시 팔탄면 율암리 481-2
39,뉴빅마트,27,부산 기장군 정관읍 매학리 748-5 106호
40,가판점(신문),26,서울 영등포구 당산동6가 331-1번지
41,그랜드마트앞가판점,25,서울 마포구 노고산동 57-2번지
42,대박천하마트,25,인천 부평구 갈산동 367번지
43,로또복권두정점,25,충남 천안시 서북구 두정동 153-1번지 대원빌딩104호
44,버스판매소,25,서울 영등포구 영등포동4가 440번지 신세계앞
45,복권전문점,25,인천 부평구 청천동 236-20번지
46,천하명당복권방,25,충남 홍성군 홍성읍 오관리 321-4
47,로터리편의마트,24,경북 포항시 북구 덕산동 113-11번지
48,묵동식품,24,서울 중랑구 묵동 238-11번지
49,복권백화점,24,경기 파주시 금촌동 329-135번지
50,청룡마트,24,충남 천안시 동남구 청수동 219-4번지 현대아파트상가B-102호
51,행운의집,24,경북 안동시 중구동 23-6 1층 행운의집 복권방
52,GS25(하안연서점),23,경기 광명시 하안동 30-1
